fungsi;iterasi;populasi;selectionSize;multipicationFactor;hypermutationRate
f2;100;10;1;0.1;0.1
f2;100;10;1;0.1;0.5
f2;100;10;1;0.5;0.1
f2;100;10;1;0.5;0.5
f2;100;10;5;0.1;0.1
f2;100;10;5;0.1;0.5
f2;100;10;5;0.5;0.1
f2;100;10;5;0.5;0.5
f2;100;50;10;0.1;0.1
f2;100;50;10;0.1;0.5
f2;100;50;10;0.5;0.1
f2;100;50;10;0.5;0.5
f2;100;50;25;0.1;0.1
f2;100;50;25;0.1;0.5
f2;100;50;25;0.5;0.1
f2;100;50;25;0.5;0.5
f2;100;100;20;0.1;0.1
f2;100;100;20;0.1;0.5
f2;100;100;20;0.5;0.1
f2;100;100;20;0.5;0.5
f2;100;100;50;0.1;0.1
f2;100;100;50;0.1;0.5
f2;100;100;50;0.5;0.1
f2;100;100;50;0.5;0.5
f2;500;10;1;0.1;0.1
f2;500;10;1;0.1;0.5
f2;500;10;1;0.5;0.1
f2;500;10;1;0.5;0.5
f2;500;10;5;0.1;0.1
f2;500;10;5;0.1;0.5
f2;500;10;5;0.5;0.1
f2;500;10;5;0.5;0.5
f2;500;50;10;0.1;0.1
f2;500;50;10;0.1;0.5
f2;500;50;10;0.5;0.1
f2;500;50;10;0.5;0.5
f2;500;50;25;0.1;0.1
f2;500;50;25;0.1;0.5
f2;500;50;25;0.5;0.1
f2;500;50;25;0.5;0.5
f2;500;100;20;0.1;0.1
f2;500;100;20;0.1;0.5
f2;500;100;20;0.5;0.1
f2;500;100;20;0.5;0.5
f2;500;100;50;0.1;0.1
f2;500;100;50;0.1;0.5
f2;500;100;50;0.5;0.1
f2;500;100;50;0.5;0.5
