fungsi;iterasi;populasi;numVar;selectionSize;multipicationFactor;hypermutationRate
f3;100;10;5;1;0.1;0.1
f3;100;10;5;1;0.1;0.5
f3;100;10;5;1;0.5;0.1
f3;100;10;5;1;0.5;0.5
f3;100;10;5;5;0.1;0.1
f3;100;10;5;5;0.1;0.5
f3;100;10;5;5;0.5;0.1
f3;100;10;5;5;0.5;0.5
f3;100;50;5;10;0.1;0.1
f3;100;50;5;10;0.1;0.5
f3;100;50;5;10;0.5;0.1
f3;100;50;5;10;0.5;0.5
f3;100;50;5;25;0.1;0.1
f3;100;50;5;25;0.1;0.5
f3;100;50;5;25;0.5;0.1
f3;100;50;5;25;0.5;0.5
f3;100;100;5;20;0.1;0.1
f3;100;100;5;20;0.1;0.5
f3;100;100;5;20;0.5;0.1
f3;100;100;5;20;0.5;0.5
f3;100;100;5;50;0.1;0.1
f3;100;100;5;50;0.1;0.5
f3;100;100;5;50;0.5;0.1
f3;100;100;5;50;0.5;0.5
f3;500;10;5;1;0.1;0.1
f3;500;10;5;1;0.1;0.5
f3;500;10;5;1;0.5;0.1
f3;500;10;5;1;0.5;0.5
f3;500;10;5;5;0.1;0.1
f3;500;10;5;5;0.1;0.5
f3;500;10;5;5;0.5;0.1
f3;500;10;5;5;0.5;0.5
f3;500;50;5;10;0.1;0.1
f3;500;50;5;10;0.1;0.5
f3;500;50;5;10;0.5;0.1
f3;500;50;5;10;0.5;0.5
f3;500;50;5;25;0.1;0.1
f3;500;50;5;25;0.1;0.5
f3;500;50;5;25;0.5;0.1
f3;500;50;5;25;0.5;0.5
f3;500;100;5;20;0.1;0.1
f3;500;100;5;20;0.1;0.5
f3;500;100;5;20;0.5;0.1
f3;500;100;5;20;0.5;0.5
f3;500;100;5;50;0.1;0.1
f3;500;100;5;50;0.1;0.5
f3;500;100;5;50;0.5;0.1
f3;500;100;5;50;0.5;0.5
f3;1000;200;5;100;0.1;0.1
f3;1000;200;5;100;0.1;0.5
f3;1000;200;5;100;0.5;0.1
f3;1000;200;5;100;0.5;0.5
