fungsi;iterasi;populasi;numVar;selectionSize;multipicationFactor;hypermutationRate
f1;2000;10;10;2;0,5;0,5
f1;2000;30;10;10;0,5;0,5
f1;2000;50;10;25;0,5;0,5
f1;2000;100;10;40;0,5;0,5
f1;5000;10;10;2;0,5;0,5
f1;5000;30;10;10;0,5;0,5
f1;5000;50;10;25;0,5;0,5
f1;5000;100;10;40;0,5;0,5
f2;2000;10;10;2;0,5;0,5
f2;2000;30;10;10;0,5;0,5
f2;2000;50;10;25;0,5;0,5
f2;2000;100;10;40;0,5;0,5
f2;5000;10;10;2;0,5;0,5
f2;5000;30;10;10;0,5;0,5
f2;5000;50;10;25;0,5;0,5
f2;5000;100;10;40;0,5;0,5
f3;2000;10;10;2;0,5;0,5
f3;2000;30;10;10;0,5;0,5
f3;2000;50;10;25;0,5;0,5
f3;2000;100;10;40;0,5;0,5
f3;5000;10;10;2;0,5;0,5
f3;5000;30;10;10;0,5;0,5
f3;5000;50;10;25;0,5;0,5
f3;5000;100;10;40;0,5;0,5
f4;2000;10;10;2;0,5;0,5
f4;2000;30;10;10;0,5;0,5
f4;2000;50;10;25;0,5;0,5
f4;2000;100;10;40;0,5;0,5
f4;5000;10;10;2;0,5;0,5
f4;5000;30;10;10;0,5;0,5
f4;5000;50;10;25;0,5;0,5
f4;5000;100;10;40;0,5;0,5
f5;2000;10;10;2;0,5;0,5
f5;2000;30;10;10;0,5;0,5
f5;2000;50;10;25;0,5;0,5
f5;2000;100;10;40;0,5;0,5
f5;5000;10;10;2;0,5;0,5
f5;5000;30;10;10;0,5;0,5
f5;5000;50;10;25;0,5;0,5
f5;5000;100;10;40;0,5;0,5
f6;2000;10;10;2;0,5;0,5
f6;2000;30;10;10;0,5;0,5
f6;2000;50;10;25;0,5;0,5
f6;2000;100;10;40;0,5;0,5
f6;5000;10;10;2;0,5;0,5
f6;5000;30;10;10;0,5;0,5
f6;5000;50;10;25;0,5;0,5
f6;5000;100;10;40;0,5;0,5
f7;2000;10;10;2;0,5;0,5
f7;2000;30;10;10;0,5;0,5
f7;2000;50;10;25;0,5;0,5
f7;2000;100;10;40;0,5;0,5
f7;5000;10;10;2;0,5;0,5
f7;5000;30;10;10;0,5;0,5
f7;5000;50;10;25;0,5;0,5
f7;5000;100;10;40;0,5;0,5
f8;2000;10;10;2;0,5;0,5
f8;2000;30;10;10;0,5;0,5
f8;2000;50;10;25;0,5;0,5
f8;2000;100;10;40;0,5;0,5
f8;5000;10;10;2;0,5;0,5
f8;5000;30;10;10;0,5;0,5
f8;5000;50;10;25;0,5;0,5
f8;5000;100;10;40;0,5;0,5
f9;2000;10;10;2;0,5;0,5
f9;2000;30;10;10;0,5;0,5
f9;2000;50;10;25;0,5;0,5
f9;2000;100;10;40;0,5;0,5
f9;5000;10;10;2;0,5;0,5
f9;5000;30;10;10;0,5;0,5
f9;5000;50;10;25;0,5;0,5
f9;5000;100;10;40;0,5;0,5
f10;2000;10;10;2;0,5;0,5
f10;2000;30;10;10;0,5;0,5
f10;2000;50;10;25;0,5;0,5
f10;2000;100;10;40;0,5;0,5
f10;5000;10;10;2;0,5;0,5
f10;5000;30;10;10;0,5;0,5
f10;5000;50;10;25;0,5;0,5
f10;5000;100;10;40;0,5;0,5
f11;2000;10;10;2;0,5;0,5
f11;2000;30;10;10;0,5;0,5
f11;2000;50;10;25;0,5;0,5
f11;2000;100;10;40;0,5;0,5
f11;5000;10;10;2;0,5;0,5
f11;5000;30;10;10;0,5;0,5
f11;5000;50;10;25;0,5;0,5
f11;5000;100;10;40;0,5;0,5
f12;2000;10;10;2;0,5;0,5
f12;2000;30;10;10;0,5;0,5
f12;2000;50;10;25;0,5;0,5
f12;2000;100;10;40;0,5;0,5
f12;5000;10;10;2;0,5;0,5
f12;5000;30;10;10;0,5;0,5
f12;5000;50;10;25;0,5;0,5
f12;5000;100;10;40;0,5;0,5
f13;2000;10;10;2;0,5;0,5
f13;2000;30;10;10;0,5;0,5
f13;2000;50;10;25;0,5;0,5
f13;2000;100;10;40;0,5;0,5
f13;5000;10;10;2;0,5;0,5
f13;5000;30;10;10;0,5;0,5
f13;5000;50;10;25;0,5;0,5
f13;5000;100;10;40;0,5;0,5
