"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed";"f1";100;10;8,97613294834748e-306;-1,40677905202461e-305;-2,97015064333459e-305;-3,28380112792054e-305;2,11748068042876e-305;-6,31314046940541e-305;-2,95220881543598e-307;8,08826531094633e-305;-7,82170150363574e-306;-2,62968128486354e-305;0;0,0399999999999991
"elapsed1";"f1";100;30;2,91832909938849e-251;-1,98759450148012e-251;-2,34441198806527e-251;4,30994893314948e-251;-1,76808582917363e-251;-4,02163996146215e-252;4,24181497668594e-251;1,68639523029374e-251;9,92155714723852e-252;-8,29519133985472e-253;0;0,0600000000000023
"elapsed2";"f1";100;50;3,09852780911317e-260;2,23106421967966e-260;2,78110757832859e-260;2,42591455655336e-261;-1,14828285506763e-260;-9,57164820432792e-263;1,2207467141098e-260;2,22321470726899e-260;6,24936363578025e-261;-2,31749065890442e-260;0;0,0599999999999952
"elapsed3";"f1";100;100;-2,95226892277032e-264;2,01215960162164e-264;6,49504522573443e-265;-1,51318965506197e-264;-4,85143770306745e-264;2,82837193256689e-264;5,6971640246147e-264;-5,85225077328802e-264;-4,04943108748566e-264;8,21364671334603e-264;0;0,0800000000000054
"elapsed4";"f1";500;10;0;0;0;0;0;0;0;0;0;0;0;0,129999999999995
"elapsed5";"f1";500;30;0;0;0;0;0;0;0;0;0;0;0;0,190000000000005
"elapsed6";"f1";500;50;0;0;0;0;0;0;0;0;0;0;0;0,229999999999997
"elapsed7";"f1";500;100;0;0;0;0;0;0;0;0;0;0;0;0,390000000000001
"elapsed8";"f1";1000;10;0;0;0;0;0;0;0;0;0;0;0;0,189999999999998
"elapsed9";"f1";1000;30;0;0;0;0;0;0;0;0;0;0;0;0,289999999999999
"elapsed10";"f1";1000;50;0;0;0;0;0;0;0;0;0;0;0;0,339999999999996
"elapsed11";"f1";1000;100;0;0;0;0;0;0;0;0;0;0;0;0,630000000000003
"elapsed12";"f2";100;10;-1,55590897486176e-291;1,69489015058856e-291;1,11762730791388e-291;-3,68650542182347e-290;2,00231878749869e-293;3,19088262889075e-290;2,24962253754325e-290;-3,46429871448427e-290;2,69732349382991e-290;-2,34271397375015e-290;1,80701917324457e-289;0,0300000000000011
"elapsed13";"f2";100;30;-2,71736105212686e-322;-6,91691904177745e-323;9,88131291682493e-324;-7,50979781678695e-322;1,01283457397456e-321;-8,39911597930119e-323;-7,90505033345994e-323;6,8181059126092e-322;-9,38724727098368e-323;-3,4090529563046e-322;3,39423098692936e-321;0,039999999999992
"elapsed14";"f2";100;50;0;0;0;0;0;0;0;0;0;0;0;0,0700000000000074
"elapsed15";"f2";100;100;0;0;0;0;0;0;0;0;0;0;0;0,0900000000000034
"elapsed16";"f2";500;10;0;0;0;0;0;0;0;0;0;0;0;0,129999999999995
"elapsed17";"f2";500;30;0;0;0;0;0;0;0;0;0;0;0;0,179999999999993
"elapsed18";"f2";500;50;0;0;0;0;0;0;0;0;0;0;0;0,240000000000009
"elapsed19";"f2";500;100;0;0;0;0;0;0;0;0;0;0;0;0,370000000000005
"elapsed20";"f2";1000;10;0;0;0;0;0;0;0;0;0;0;0;0,169999999999987
"elapsed21";"f2";1000;30;0;0;0;0;0;0;0;0;0;0;0;0,330000000000013
"elapsed22";"f2";1000;50;0;0;0;0;0;0;0;0;0;0;0;0,399999999999991
"elapsed23";"f2";1000;100;0;0;0;0;0;0;0;0;0;0;0;0,719999999999999
"elapsed24";"f3";100;10;-1,28297112275461e-225;1,40124147127219e-225;-7,96292724954186e-226;4,83436327954525e-226;2,4330125197255e-228;2,13793841554361e-226;-9,79951480402265e-226;-1,24054277459437e-225;6,0931405741454e-228;1,08322735860713e-225;0;0,0500000000000114
