"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed";"f1";100;10;0,853700818222393;3,5818287476725;1,62879404345425;-1,20772592461505;-0,202556669069635;-3,09227373435074;5,19431041419484;0,418111433919594;1,2056822307381;1,21177478486592;57,3508058829478;0,302999999999884
"elapsed1";"f1";100;30;-1,03949754250739;-0,589765179498116;0,720761151487096;-0,295941360031513;0,370332191067301;-0,879191685408877;-0,831820399862958;-1,42697475967797;0,799779832730498;3,2537264449643;16,9001456872191;0,41399999999976
"elapsed2";"f1";100;50;-0,798187827486601;-0,971615185714442;-0,271190955130359;-8,45139164891352;-3,66956910908069;2,46464194843361;-0,172394695000364;-0,0509769705787635;0,654911915658418;3,92236307878251;108,467062916288;0,64299999999912
"elapsed3";"f1";100;100;-0,173166006552785;-0,0409751181107067;-0,116976782338371;0,0822526097177538;-0,0567472580859209;-0,000631960001971598;-0,0483614543607789;-0,0152280793515108;0,0253603143105052;0,00568785866069471;0,0585813581616568;0,726000000000568
"elapsed4";"f1";500;10;0,000235669530413741;-0,00123001852061011;-0,000145976976175982;3,9204677240783e-05;-0,000738739621472996;0,00259622616392927;-0,000445984178556775;0,00195664412418972;-0,000291299296196037;-0,00014425886246109;1,30104825111173e-05;1,30100000000039
"elapsed5";"f1";500;30;-8,8337209451017e-07;-3,27529053428961e-07;-1,77552387430626e-06;-6,90506737802052e-07;-2,27218127198848e-07;1,75339490609208e-07;-5,79868518643107e-07;6,73705235925948e-07;-1,6596443662771e-07;4,3089353246271e-06;2,39838722055475e-11;1,84299999999985
"elapsed6";"f1";500;50;-1,61641273984449e-06;-1,18056919606702e-07;-2,95298999110072e-07;-3,47311241113386e-07;6,12323989753043e-07;2,47149599707567e-07;-1,7980244412751e-06;-2,34767547828882e-07;1,24287100015484e-06;-1,58278888272686e-05;2,58625378516276e-10;2,44999999999982
"elapsed7";"f1";500;100;6,93077615826276e-12;6,0878716573472e-13;-3,41898051652495e-12;3,77539708128458e-13;-2,44763008978527e-12;2,01778259554327e-12;-1,34965614955411e-14;1,93634261756787e-12;-2,14982613085432e-12;4,46702406708633e-13;7,88714839548425e-23;3,91899999999987
"elapsed8";"f1";1000;10;4,01896455546022e-06;2,17584514770426e-06;-4,93631085659844e-06;4,5961863137305e-06;-4,4045303589383e-06;2,11753573980654e-05;1,31938213111143e-06;5,47465173024527e-07;-1,67984589666325e-06;-5,01346215132733e-06;5,64171292629839e-10;2,71100000000024
"elapsed9";"f1";1000;30;-2,43676228128428e-11;9,93320634448295e-13;-4,21561072353946e-11;1,05992510271437e-10;4,35843824266254e-11;1,07506001427459e-11;-7,88917449453986e-12;2,80179727615817e-11;3,29710081744098e-13;-7,06442041676332e-12;1,65187517496909e-20;3,92399999999998
"elapsed10";"f1";1000;50;2,92246092429372e-17;-7,77115302224138e-17;-5,28176794313858e-14;5,22509319793584e-16;-6,86562625528828e-17;4,93360498495978e-16;-2,81789926185234e-15;-1,46857315593983e-15;2,12423568152762e-17;7,24392253161613e-16;2,80085774666794e-27;4,7489999999998
"elapsed11";"f1";1000;100;-2,82659151672891e-22;-6,2415439505248e-22;1,98267314027066e-22;1,77771315122314e-22;-3,90925825718763e-22;-8,70058200177355e-22;-1,06459279115483e-21;-6,22730123878936e-22;-4,36356570544084e-22;2,69629336264382e-22;3,23445939988581e-42;8,02399999999943
"elapsed12";"f2";100;10;0,0019837841238839;0,0111490218151101;-0,0355192683313768;0,101659273021568;-0,00809364749361225;-0,358530192726501;-0,211652493263324;-0,0123862813329801;0,023155367686218;0,349945703915793;1,11407503371042;0,274999999999636
"elapsed13";"f2";100;30;0,00796365660981619;-0,00595294157780912;-0,0216456407166572;-0,000573902279310673;0,018664701160024;0,0120387104464121;-0,00134084849009939;-0,00673680825578878;0,0290486210310184;0,00469945964020864;0,108665290207144;0,393000000000029
"elapsed14";"f2";100;50;-0,0022376908381916;-0,000754472935868826;-0,00108645945730044;0,00128531412080328;-0,00073928114565069;-0,000353476678993856;0,000905884237511363;-0,00470938072579849;-0,000858303389426028;-0,00652063045601506;0,0194508939855596;0,512000000000626
"elapsed15";"f2";100;100;0,00038839354843013;0,000566716239018048;-0,000160529880750807;0,00114031832946342;1,25366812454575e-05;0,00218313577240901;-0,000203054858727668;-7,27299489010835e-05;3,97116457990918e-05;-0,00105941214595596;0,00582653905070068;0,796999999999571
"elapsed16";"f2";500;10;8,01877523180844e-06;-8,48000156763664e-06;3,09437963633617e-05;1,64086003295663e-05;-5,77445976700473e-05;-2,05647995964004e-05;-4,49862598951208e-05;9,02042020667016e-06;-8,17075319936008e-06;1,35763825402742e-05;0,000217914386600246;1,38899999999921
"elapsed17";"f2";500;30;-2,89915644814274e-08;2,85302809652311e-08;2,27234254150805e-09;-3,43076362258323e-09;-1,72363996298847e-09;2,45324958535876e-09;-1,41149373474008e-09;-2,83177580199083e-09;1,0029710247138e-08;4,81037729697432e-10;8,21558586726633e-08;2,00699999999961
"elapsed18";"f2";500;50;-6,24612987686773e-14;1,50836580796575e-13;1,04880617281234e-11;-1,83318710424681e-12;-5,5498615505018e-12;9,15837209364069e-12;-8,04620551202507e-11;1,47261762057228e-12;6,12894701633117e-12;-1,07207492573411e-11;1,26027149370573e-10;2,65900000000056
"elapsed19";"f2";500;100;4,64400664805546e-20;-4,799198691134e-18;-7,71861708617489e-19;1,85361598556343e-17;3,83808286764306e-18;5,18682458051852e-18;-5,12620274226585e-19;-8,74856063782049e-19;6,8697009254398e-18;4,99339922569003e-17;9,13697372903767e-17;3,98700000000008
"elapsed20";"f2";1000;10;-4,64643166529984e-07;1,37433570233896e-07;6,51587646347821e-07;-1,90897511273869e-07;1,83909822317748e-07;2,49913986492014e-07;-5,32589475231311e-06;-4,7602558661522e-06;2,98627929900996e-07;6,46904300334917e-07;1,29100685518965e-05;2,81999999999971
"elapsed21";"f2";1000;30;1,95887114385334e-15;7,9115194054295e-15;6,87021386387196e-16;6,95642454657716e-15;7,75684429753527e-16;-7,2109883521418e-15;1,23606954472389e-14;-6,19510563353787e-15;6,55138888143494e-17;-1,62778875188687e-15;4,57496129856205e-14;3,6190000000006
