"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed";"f1";100;10;6,51805809365874e-09;-1,27542020690519e-06;-6,75322444073515e-08;5,51592369077178e-07;6,23667241576122e-09;-2,23443404125009e-07;6,4301374265988e-07;-2,47105792554151e-07;-1,82456676091873e-07;-3,12705785970687e-08;2,49431601955162e-12;2,35599999999977
"elapsed1";"f1";100;30;6,4514024619776e-06;-8,65668181234008e-07;9,3250390025047e-05;7,4549806431895e-05;1,34350202798327e-05;-7,77398581436653e-05;2,13199031425527e-05;6,59192832660683e-05;-9,83623277638877e-05;3,99671477820643e-05;3,65920747693833e-08;5,2470000000003
"elapsed2";"f1";100;50;-4,91367147043592e-08;3,70288470357997e-07;-2,74902877193591e-07;-2,02828109136453e-08;5,76895693712474e-07;1,01722596312905e-08;1,12153350502206e-07;3,58752670305478e-08;5,05434702552043e-07;2,11238773576157e-07;8,62374535429093e-13;8,46299999999974
"elapsed3";"f1";100;100;8,83069590201375e-07;1,22644952715535e-06;1,64500581873607e-06;-1,22989570651355e-05;2,36434119534876e-07;-2,55143207478128e-07;-9,70048482987769e-07;3,22777126030724e-07;7,43440680946328e-07;1,02019688781608e-06;1,59014063395153e-10;15,732
"elapsed4";"f1";500;10;6,43754002729692e-17;3,71449910141533e-16;-4,33787983448683e-13;-5,18751772053414e-14;2,12018195691261e-15;-4,58695312747796e-16;-3,50528103636982e-15;-3,40972667190604e-14;-5,20278452065318e-17;8,48425987686207e-14;1,99241076152273e-25;11,549
"elapsed5";"f1";500;30;-1,66674615918959e-14;-3,77575993143088e-16;3,41403445985872e-16;-3,21829609116334e-14;-3,58872597567801e-14;-1,39841481849804e-13;2,5531386685056e-15;-2,1512053841774e-15;3,90963804185876e-15;6,3303579993081e-14;2,61911165389246e-26;26,2669999999998
"elapsed6";"f1";500;50;2,46312081638071e-14;4,98639808317597e-15;-5,40654260517915e-13;3,88682626804003e-15;-3,19659285248892e-16;5,12053363333081e-14;-8,57991668715862e-14;1,65045941561227e-16;3,72441652394422e-14;2,02619724117434e-14;3,04734985713549e-25;42,54
"elapsed7";"f1";500;100;-8,70434824531457e-15;7,28661125342682e-16;2,772797146075e-16;2,25460754358767e-16;1,86421238571211e-16;7,60187045791567e-14;3,35699721440481e-17;-6,33635335548294e-15;9,26612706169794e-16;1,35933749159537e-18;5,89631165451808e-27;80,4709999999995
"elapsed8";"f1";1000;10;2,89322866879172e-25;-8,13497917076338e-23;1,24725274034547e-24;2,67536172880386e-21;5,89828371385061e-23;-2,45885778211799e-24;2,19990105278395e-23;3,09761238341041e-22;5,44881869634504e-24;-5,2455148408018e-22;7,53928475928356e-42;23,0729999999994
"elapsed9";"f1";1000;30;-5,31735579181572e-26;2,58549301108683e-28;4,37437670252882e-27;-1,666628575933e-26;-1,18598376889207e-26;1,17029779855704e-26;-1,93966087563722e-26;2,08778504343802e-26;1,79110907010577e-26;-2,29120649395518e-29;4,53493057077464e-51;52,3389999999999
